排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
230,超人总动员,Brad Bird,Craig T. Nelson / Samuel L. Jackson / Holly Hunter,动画/动作/冒险,美国,2004,1小时 55分钟,8,862000 ,"$631,688,498 "
231,绿野仙踪,Victor Fleming,Judy Garland / Frank Morgan / Ray Bolger,冒险/家庭/奇幻,美国,1939,1小时 42分钟,8.1,453000 ,"$25,637,669 "
232,忠犬八公的故事,Lasse Hallstr?m,Richard Gere / Joan Allen / Cary-Hiroyuki Tagawa,传记/剧情/家庭,英国/美国,2009,1小时 33分钟,8.1,331000 ,"$46,749,646 "
233,圣女贞德的受难,Carl Theodor Dreyer,Maria Falconetti / Eugene Silvain / André Berley,传记/剧情/历史,法国,1928,1小时 50分钟,8.1,66000 ,"$22,731 "
234,极速风流,Ron Howard,Daniel Brühl / Chris Hemsworth / Olivia Wilde,传记/剧情/运动,英国/美国,2013,2小时 3分钟,8.1,539000 ,"$96,992,516 "
235,伴我同行,Rob Reiner,Wil Wheaton / River Phoenix / Corey Feldman,冒险/喜剧/剧情,美国,1986,1小时 29分钟,8.1,468000 ,"$53,525,035 "
236,我的父亲，我的儿子,?agan Irmak,?etin Tekindor / Fikret Kuskan / Hümeyra,剧情/家庭,土耳其,2005,1小时 52分钟,8.2,98000 ,"$18,612,999 "
237,声之形,Naoko Yamada,Miyu Irino / Saori Hayami / Aoi Y?ki,动画/剧情,日本,2016,2小时 10分钟,8.1,124000 ,"$30,819,442 "
238,钢铁巨人,Brad Bird,Eli Marienthal / Harry Connick Jr. / Jennifer Aniston,动画/动作/冒险,美国/捷克/英国,1999,1小时 26分钟,8.1,247000 ,"$23,339,506 "
239,电视台风云,Sidney Lumet,Faye Dunaway / William Holden / Peter Finch,剧情,美国,1976,2小时 1分钟,8.1,181000 ,"$23,701,317 "
