排名,电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
91,梦之安魂曲,Darren Aronofsky,Ellen Burstyn / Jared Leto / Jennifer Connelly,剧情,美国,2000,1小时 42分钟,8.3,944000 ,"$7,391,471 "
92,星球大战6：绝地归来,Richard Marquand,Mark Hamill / Harrison Ford / Carrie Fisher,动作/冒险/奇幻,美国,1983,2小时 11分钟,8.3,1200000 ,"$482,466,382 "
93,玩具总动员3,Lee Unkrich,Tom Hanks / Tim Allen / Joan Cusack,动画/冒险/喜剧,美国,2010,1小时 43分钟,8.3,937000 ,"$1,067,316,101 "
94,狩猎,Thomas Vinterberg,Mads Mikkelsen / Thomas Bo Larsen / Annika Wedderkopp,剧情,丹麦/瑞典/比利时/法国,2012,1小时 55分钟,8.3,391000 ,"$15,886,373 "
95,生之欲,Akira Kurosawa,Takashi Shimura / Nobuo Kaneko / Shin'ichi Himori,剧情,日本,1952,2小时 23分钟,8.3,98000 ,"$114,026 "
96,美丽心灵的永恒阳光,Michel Gondry,Jim Carrey / Kate Winslet / Tom Wilkinson,剧情/爱情/科幻,美国,2004,1小时 48分钟,8.3,1100000 ,"$73,384,095 "
97,焦土之城,Denis Villeneuve,Lubna Azabal / Mélissa Désormeaux-Poulin / Maxim Gaudette,剧情/悬疑/战争,加拿大/法国,2010,2小时 11分钟,8.3,232000 ,"$6,796,926 "
98,2001太空漫游,Stanley Kubrick,Keir Dullea / Gary Lockwood / William Sylvester,冒险/科幻,英国/美国,1968,2小时 29分钟,8.3,758000 ,"$66,890,296 "
99,公寓春光,Billy Wilder,Jack Lemmon / Shirley MacLaine / Fred MacMurray,喜剧/剧情/爱情,美国,1960,2小时 5分钟,8.3,210000 ,"$18,783,770 "
100,落水狗,Quentin Tarantino,Harvey Keitel / Tim Roth / Michael Madsen,犯罪/惊悚,美国,1992,1小时 39分钟,8.3,1100000 ,"$2,932,006 "
101,阿拉伯的劳伦斯,David Lean,Peter O'Toole / Alec Guinness / Anthony Quinn,冒险/传记/剧情,英国/美国,1962,3小时 47分钟,8.3,331000 ,"$45,874,235 "
102,疤面煞星,Brian De Palma,Al Pacino / Michelle Pfeiffer / Steven Bauer,犯罪/剧情,美国,1983,2小时 50分钟,8.3,974000 ,"$66,443,303 "
103,双重赔偿,Billy Wilder,Fred MacMurray / Barbara Stanwyck / Edward G. Robinson,犯罪/剧情/黑色,美国,1944,1小时 47分钟,8.3,176000 ,"$21,026 "
104,盗火线,Michael Mann,Al Pacino / Robert De Niro / Val Kilmer,动作/犯罪/剧情,美国,1995,2小时 50分钟,8.3,765000 ,"$187,436,818 "
105,西北偏北,Alfred Hitchcock,Cary Grant / Eva Marie Saint / James Mason,冒险/剧情/悬疑,美国,1959,2小时 16分钟,8.3,362000 ,"$197,920 "
106,飞屋环游记,Pete Docter,Edward Asner / 约旦 Nagai / John Ratzenberger,动画/冒险/喜剧,美国,2009,1小时 36分钟,8.3,1200000 ,"$735,103,954 "
107,公民凯恩,Orson Welles,Orson Welles / Joseph Cotten / Dorothy Comingore,剧情/悬疑,美国,1941,1小时 59分钟,8.3,484000 ,"$1,711,106 "
108,M就是凶手,Fritz Lang,Peter Lorre / Ellen Widmann / Inge Landgut,犯罪/悬疑/惊悚,德国,1931,1小时 57分钟,8.3,178000 ,"$35,566 "
109,全金属外壳,Stanley Kubrick,Matthew Modine / R. Lee Ermey / Vincent D'Onofrio,剧情/战争,英国/美国,1987,1小时 56分钟,8.2,827000 ,"$50,193,748 "
110,迷魂记,Alfred Hitchcock,James Stewart / Kim Novak / Barbara Bel Geddes,悬疑/爱情/惊悚,美国,1958,2小时 8分钟,8.2,448000 ,"$7,974,114 "
111,天使爱美丽,Jean-Pierre Jeunet,Audrey Tautou / Mathieu Kassovitz / Rufus,喜剧/爱情,法国/德国,2001,2小时 2分钟,8.3,822000 ,"$175,183,052 "
112,哈巴巴姆课堂：留级生,Ertem Egilmez,Münir ?zkul / Tarik Akan / Kemal Sunal,喜剧,土耳其,1975,N/A,8.7,27000 ,N/A
113,地球上的星星,Aamir Khan,Darsheel Safary / Aamir Khan / Tisca Chopra,剧情/家庭,印度,2007,2小时 42分钟,8.3,221000 ,"$21,897,373 "
114,一次别离,Asghar Farhadi,Payman Maadi / Leila Hatami / Sareh Bayat,剧情,伊朗/法国/澳大利亚,2011,2小时 3分钟,8.3,271000 ,"$22,926,076 "
115,杀死一只知更鸟,Robert Mulligan,Gregory Peck / John Megna / Frank Overton,犯罪/剧情,美国,1962,2小时 9分钟,8.3,345000 ,"$602,810 "
116,虎胆龙威,John McTiernan,Bruce Willis / Alan Rickman / Bonnie Bedelia,动作/惊悚,美国,1988,2小时 12分钟,8.2,995000 ,"$143,651,650 "
117,发条橙,Stanley Kubrick,Malcolm McDowell / Patrick Magee / Michael Bates,犯罪/科幻,英国/美国,1971,2小时 16分钟,8.2,916000 ,"$27,034,174 "
118,夺宝奇兵3：圣战奇兵,Steven Spielberg,Harrison Ford / Sean Connery / Alison Doody,动作/冒险,美国/意大利/西班牙/英国/约旦,1989,2小时 7分钟,8.2,843000 ,"$474,171,806 "
119,骗中骗,George Roy Hill,Paul Newman / Robert Redford / Robert Shaw,喜剧/犯罪/剧情,美国,1973,2小时 9分钟,8.2,292000 ,"$156,000,000 "
120,奥本海默,Christopher Nolan,Cillian Murphy / Emily Blunt / Matt Damon,传记/剧情/历史,美国/英国,2023,3小时,8.3,909000 ,"$975,811,333 "
121,大都会,Fritz Lang,Brigitte Helm / Alfred Abel / Gustav Fr?hlich,剧情/科幻,德国,1927,2小时 33分钟,8.3,196000 ,"$1,351,009 "
122,偷拐抢骗,Guy Ritchie,Jason Statham / Brad Pitt / Stephen Graham,喜剧/犯罪,英国/美国,2000,1小时 44分钟,8.2,951000 ,"$83,558,617 "
123,1917,Sam Mendes,Dean-Charles Chapman / George MacKay / Daniel Mays,动作/剧情/战争,英国/美国/印度/西班牙/加拿大,2019,1小时 59分钟,8.2,735000 ,"$446,064,352 "
124,洛城机密,Curtis Hanson,Kevin Spacey / Russell Crowe / Guy Pearce,犯罪/剧情/悬疑,美国,1997,2小时 18分钟,8.2,644000 ,"$126,216,940 "
125,偷自行车的人,Vittorio De Sica,Lamberto Maggiorani / Enzo Staiola / Lianella Carell,剧情,意大利,1948,1小时 29分钟,8.2,187000 ,"$451,643 "
126,帝国的毁灭,Oliver Hirschbiegel,Bruno Ganz / Alexandra Maria Lara / Ulrich Matthes,传记/剧情/历史,德国/奥地利/意大利,2004,2小时 36分钟,8.2,391000 ,"$92,181,574 "
127,摔跤吧！爸爸,Nitesh Tiwari,Aamir Khan / Sakshi Tanwar / Fatima Sana Shaikh,动作/传记/剧情,印度/美国,2016,2小时 41分钟,8.3,229000 ,"$303,726,694 "
128,华尔街之狼,Martin Scorsese,Leonardo DiCaprio / Jonah Hill / Margot Robbie,传记/喜剧/犯罪,美国,2013,3小时,8.2,1700000 ,"$407,039,432 "
129,汉密尔顿,Thomas Kail,Lin-Manuel M伊朗da / Phillipa Soo / Leslie Odom Jr.,传记/剧情/历史,美国,2020,2小时 40分钟,8.3,130000 ,N/A
130,出租车司机,Martin Scorsese,Robert De Niro / Jodie Foster / Cybill Shepherd,犯罪/剧情,美国,1976,1小时 54分钟,8.2,986000 ,"$28,737,520 "
131,绿皮书,Peter Farrelly,Viggo Mortensen / Mahershala Ali / Linda Cardellini,传记/喜剧/剧情,中国/日本/美国,2018,2小时 10分钟,8.2,643000 ,"$321,752,656 "
132,蝙蝠侠：侠影之谜,Christopher Nolan,Christian Bale / Michael Caine / Ken Watanabe,动作/犯罪/剧情,美国/英国,2005,2小时 20分钟,8.2,1700000 ,"$375,406,308 "
133,楚门的世界,Peter Weir,Jim Carrey / Ed Harris / Laura Linney,喜剧/剧情,美国,1998,1小时 43分钟,8.2,1300000 ,"$264,118,712 "
134,黄昏双镖客,Sergio Leone,Clint Eastwood / Lee Van Cleef / Gian Maria Volontè,剧情/西部,意大利/西班牙/西德,1965,2小时 12分钟,8.2,291000 ,"$15,000,000 "
135,纽伦堡的审判,Stanley Kramer,Spencer Tracy / Burt Lancaster / Richard Widmark,剧情/战争,美国,1961,2小时 59分钟,8.3,93000 ,"$12,180 "
136,热情如火,Billy Wilder,Marilyn Monroe / Tony Curtis / Jack Lemmon,喜剧/音乐/爱情,美国,1959,2小时 1分钟,8.2,297000 ,"$208,786 "
137,禁闭岛,Martin Scorsese,Leonardo DiCaprio / Emily Mortimer / Mark Ruffalo,剧情/悬疑/惊悚,美国/加拿大,2010,2小时 18分钟,8.2,1600000 ,"$294,978,537 "
138,寻子遇仙记,Charles Chaplin,Charles Chaplin / Edna Purviance / Jackie Coogan,喜剧/剧情/家庭,美国,1921,1小时 8分钟,8.2,142000 ,"$44,115 "
139,困在时间里的父亲,Florian Zeller,Anthony Hopkins / Olivia Colman / Mark Gatiss,剧情/悬疑,英国/法国/美国,2020,1小时 37分钟,8.2,216000 ,"$24,048,935 "
140,侏罗纪公园,Steven Spielberg,Sam Neill / Laura Dern / Jeff Goldblum,动作/冒险/科幻,美国,1993,2小时 7分钟,8.2,1100000 ,"$1,104,379,926 "
141,彗星美人,Joseph L. Mankiewicz,Bette Davis / Anne Baxter / George Sanders,剧情,美国,1950,2小时 18分钟,8.2,146000 ,"$154,974 "
142,血色将至,Paul Thomas Anderson,Daniel Day-Lewis / Paul Dano / Ciarán Hinds,剧情,美国,2007,2小时 38分钟,8.2,676000 ,"$76,430,381 "
143,第六感,M. Night Shyamalan,Bruce Willis / Haley Joel Osment / Toni Collette,剧情/悬疑/惊悚,美国,1999,1小时 47分钟,8.2,1100000 ,"$672,806,432 "
144,赌场,Martin Scorsese,Robert De Niro / Sharon Stone / Joe Pesci,犯罪/剧情,美国/法国,1995,2小时 58分钟,8.2,597000 ,"$116,112,375 "
145,乱,Akira Kurosawa,Tatsuya Nakadai / Akira Terao / Jinpachi Nezu,动作/剧情/战争,日本/法国,1985,2小时 40分钟,8.2,145000 ,"$4,384,009 "
146,壮志凌云：独行侠,Joseph Kosinski,Tom Cruise / Jennifer Connelly / Miles Teller,动作/剧情,美国,2022,2小时 10分钟,8.2,789000 ,"$1,495,696,292 "
147,老无所依,Ethan Coen,Tommy Lee Jones / Javier Bardem / Josh Brolin,犯罪/剧情/惊悚,美国,2007,2小时 2分钟,8.2,1100000 ,"$171,632,777 "
148,怪形,John Carpenter,Kurt Russell / Wilford Brimley / Keith David,恐怖/悬疑/科幻,美国/加拿大,1982,1小时 49分钟,8.2,503000 ,"$20,842,105 "
149,不可饶恕,Clint Eastwood,Clint Eastwood / Gene Hackman / Morgan Freeman,剧情/西部,美国,1992,2小时 10分钟,8.2,457000 ,"$159,167,799 "
150,潘神的迷宫,Guillermo del Toro,Ivana Baquero / Ariadna Gil / Sergi López,剧情/奇幻/战争,墨西哥/西班牙,2006,1小时 58分钟,8.2,728000 ,"$83,863,565 "
151,杀死比尔,Quentin Tarantino,Uma Thurman / David Carradine / Daryl Hannah,动作/犯罪/惊悚,美国,2003,1小时 51分钟,8.2,1300000 ,"$180,908,413 "
152,美丽心灵,Ron Howard,Russell Crowe / Ed Harris / Jennifer Connelly,传记/剧情/悬疑,美国,2001,2小时 15分钟,8.2,1000000 ,"$316,791,257 "
153,囚徒,Denis Villeneuve,Hugh Jackman / Jake Gyllenhaal / Viola Davis,犯罪/剧情/悬疑,美国,2013,2小时 33分钟,8.2,881000 ,"$122,127,446 "
154,碧血金沙,John Huston,Humphrey Bogart / Walter Huston / Tim Holt,冒险/剧情/西部,美国,1948,2小时 6分钟,8.2,138000 ,"$5,014,000 "
155,用心棒,Akira Kurosawa,Toshir? Mifune / Eijir? T?no / Tatsuya Nakadai,动作/剧情/惊悚,日本,1961,1小时 50分钟,8.2,139000 ,"$68,196 "
156,海底总动员,Andrew Stanton,Albert Brooks / Ellen DeGeneres / Alexander Gould,动画/冒险/喜剧,美国/日本/澳大利亚,2003,1小时 40分钟,8.2,1200000 ,"$941,637,960 "
157,哈尔的移动城堡,Hayao Miyazaki,Chieko Baish? / Takuya Kimura / Tatsuya Gash?in,动画/冒险/家庭,日本/美国,2004,1小时 59分钟,8.2,488000 ,"$241,526,144 "
158,大逃亡,John Sturges,Steve McQueen / James Garner / Richard Attenborough,冒险/剧情/惊悚,美国,1963,2小时 52分钟,8.2,270000 ,"$230,637 "
159,巨蟒与圣杯,Terry Gilliam,Graham Chapman / John Cleese / Eric Idle,冒险/喜剧/奇幻,英国,1975,1小时 31分钟,8.2,591000 ,"$2,931,902 "
160,象人,David Lynch,Anthony Hopkins / John Hurt / Anne Bancroft,传记/剧情,美国/英国,1980,2小时 4分钟,8.2,275000 ,"$26,034,325 "
161,电话谋杀案,Alfred Hitchcock,Ray Milland / Grace Kelly / Robert Cummings,犯罪/剧情/悬疑,美国,1954,1小时 45分钟,8.2,199000 ,"$45,313 "
162,克劳斯：圣诞节的秘密,Sergio Pablos,Jason Schwartzman / J.K. Simmons / Rashida Jones,动画/冒险/喜剧,西班牙/英国/美国/奥地利/加拿大/法国,2019,1小时 36分钟,8.2,217000 ,N/A
163,乱世佳人,Victor Fleming,Clark Gable / Vivien Leigh / Thomas Mitchell,剧情/爱情/战争,美国,1939,3小时 58分钟,8.2,348000 ,"$402,382,193 "
164,唐人街,Roman Polanski,Jack Nicholson / Faye Dunaway / John Huston,剧情/悬疑/惊悚,美国,1974,2小时 10分钟,8.1,367000 ,"$29,232,347 "
165,谜一样的双眼,Juan José Campanella,Ricardo Darín / Soledad Villamil / Pablo Rago,剧情/悬疑/爱情,阿根廷/西班牙,2009,2小时 9分钟,8.2,234000 ,"$35,079,650 "
166,两杆大烟枪,Guy Ritchie,Jason Flemyng / Dexter Fletcher / Nick Moran,喜剧/犯罪,英国/美国,1998,1小时 47分钟,8.1,638000 ,"$3,753,929 "
167,罗生门,Akira Kurosawa,Toshir? Mifune / Machiko Ky? / Masayuki Mori,犯罪/剧情/悬疑,日本,1950,1小时 28分钟,8.2,191000 ,"$139,819 "
168,V字仇杀队,James McTeigue,Hugo Weaving / Natalie Portman / Rupert Graves,动作/剧情/科幻,美国/英国/德国,2005,2小时 12分钟,8.1,1200000 ,"$134,686,457 "
169,头脑特工队,Pete Docter,Amy Poehler / Bill Hader / Lewis Black,动画/冒险/喜剧,美国,2015,1小时 35分钟,8.1,875000 ,"$859,076,254 "
170,三块广告牌,Martin McDonagh,Frances McDormand / Woody Harrelson / Sam Rockwell,喜剧/犯罪/剧情,英国/美国,2017,1小时 55分钟,8.1,587000 ,"$162,729,321 "
171,猫鼠游戏,Steven Spielberg,Leonardo DiCaprio / Tom Hanks / Christopher Walken,传记/犯罪/剧情,美国/加拿大,2002,2小时 21分钟,8.1,1200000 ,"$352,114,312 "
172,猜火车,Danny Boyle,Ewan McGregor / Ewen Bremner / Jonny Lee Miller,犯罪/剧情,英国/美国,1996,1小时 33分钟,8.1,753000 ,"$16,992,984 "
173,桂河大桥,David Lean,William Holden / Alec Guinness / Jack Hawkins,冒险/剧情/战争,英国/美国,1957,2小时 41分钟,8.1,243000 ,"$27,201,366 "
174,愤怒的公牛,Martin Scorsese,Robert De Niro / Cathy Moriarty / Joe Pesci,传记/剧情/运动,美国,1980,2小时 9分钟,8.1,398000 ,"$23,406,017 "
175,荒野机器人,Chris Sanders,Lupita Nyong'o / Pedro Pascal / Kit Connor,动画/冒险/家庭,美国/日本,2024,1小时 42分钟,8.2,186000 ,"$334,537,187 "
176,冰血暴,Joel Coen,William H. Macy / Frances McDormand / Steve Buscemi,犯罪/剧情/惊悚,英国/美国,1996,1小时 38分钟,8.1,761000 ,"$60,611,975 "
177,哈利·波特与死亡圣器(下),David Yates,Daniel Radcliffe / Emma Watson / Rupert Grint,冒险/家庭/奇幻,英国/美国,2011,2小时 10分钟,8.1,1000000 ,"$1,342,505,340 "
178,勇士,Gavin O'Connor,Tom Hardy / Nick Nolte / Joel Edgerton,动作/剧情/运动,美国,2011,2小时 20分钟,8.1,517000 ,"$23,308,615 "
179,老爷车,Clint Eastwood,Clint Eastwood / Bee Vang / Christopher Carley,剧情,德国/美国,2008,1小时 56分钟,8.1,843000 ,"$269,958,228 "
180,百万美元宝贝,Clint Eastwood,Hilary Swank / Clint Eastwood / Morgan Freeman,剧情/运动,美国,2004,2小时 12分钟,8.1,750000 ,"$216,763,646 "
181,宾虚,William Wyler,Charlton Heston / Jack Hawkins / Stephen Boyd,冒险/剧情,美国,1959,3小时 32分钟,8.1,265000 ,"$74,439,376 "
182,疯狂的麦克斯：狂怒道,George Miller,Tom Hardy / Charlize Theron / Nicholas Hoult,动作/冒险/科幻,澳大利亚/美国,2015,2小时,8.1,1200000 ,"$380,437,267 "
183,龙猫,Hayao Miyazaki,Hitoshi Takagi / Noriko Hidaka / Chika Sakamoto,动画/喜剧/家庭,日本,1988,1小时 26分钟,8.1,412000 ,"$30,430,087 "
184,巴里·林登,Stanley Kubrick,Ryan O'Neal / Marisa Berenson / Patrick Magee,冒险/剧情/战争,英国/美国,1975,3小时 5分钟,8.1,195000 ,"$284,426 "
185,死亡诗社,Peter Weir,Robin Williams / Robert Sean Leonard / Ethan Hawke,喜剧/剧情,美国,1989,2小时 8分钟,8.1,597000 ,"$235,860,116 "
186,天堂的孩子,Majid Majidi,Reza Naji / Amir Farrokh Hashemian / Bahare Seddiqi,剧情/家庭/运动,伊朗,1997,1小时 29分钟,8.2,87000 ,"$933,933 "
187,蜘蛛侠：英雄无归,Jon Watts,Tom Holland / Zendaya / Benedict Cumberbatch,动作/冒险/奇幻,美国,2021,2小时 28分钟,8.2,962000 ,"$1,921,426,073 "
188,血战钢锯岭,Mel Gibson,Andrew Garfield / Sam Worthington / Luke Bracey,传记/剧情/历史,美国,2016,2小时 19分钟,8.1,643000 ,"$180,563,636 "
189,布达佩斯大饭店,Wes Anderson,Ralph Fiennes / F. Murray Abraham / Mathieu Amalric,喜剧/剧情,美国/德国,2014,1小时 39分钟,8.1,933000 ,"$174,567,384 "
190,为奴十二年,Steve McQueen,Chiwetel Ejiofor / Michael Kenneth Williams / Michael Fassbender,传记/剧情/历史,英国/美国,2013,2小时 14分钟,8.1,768000 ,"$187,734,091 "
191,爱在黎明破晓前,Richard Linklater,Ethan Hawke / Julie Delpy / Andrea Eckert,喜剧/剧情/爱情,美国/奥地利,1995,1小时 41分钟,8.1,362000 ,"$6,572,057 "
192,银翼杀手,Ridley Scott,Harrison Ford / Rutger Hauer / Sean Young,动作/剧情/科幻,美国/英国,1982,1小时 57分钟,8.1,858000 ,"$41,767,218 "
193,杀人回忆,Bong Joon Ho,Song Kang-ho / Kim Sang-kyung / Kim Roe-ha,犯罪/剧情/悬疑,韩国,2003,2小时 11分钟,8.1,245000 ,"$1,210,763 "
194,消失的爱人,David Fincher,Ben Affleck / Rosamund Pike / Neil Patrick Harris,剧情/悬疑/惊悚,美国,2014,2小时 29分钟,8.1,1100000 ,"$370,890,259 "
