电影名称,排名,导演,电影类型,国家,上映年份,片长,评分,五星,四星,三星,二星,一星,评论人数
新龙门客栈,No.222,李惠民,动作/爱情/武侠/古装,中国香港 / 中国大陆,1992,1992-08-27(中国香港),8.7,45.90%,43.50%,10.00%,0.60%,0.10%,494423
雨人,No.223,巴瑞·莱文森,剧情,美国,1988,IMDb:,8.7,47.20%,43.10%,9.00%,0.50%,0.10%,435164
人工智能,No.224,史蒂文·斯皮尔伯格,剧情/科幻,美国 / 英国,2001,146分钟,8.7,48.80%,38.30%,11.40%,1.10%,0.30%,489665
虎口脱险,No.225,热拉尔·乌里,喜剧/战争,法国 / 英国,1966,又名:,8.9,57.20%,32.90%,8.80%,0.80%,0.30%,287037
大红灯笼高高挂,No.226,张艺谋,剧情,中国大陆 / 中国香港 / 中国台湾,1991,又名:,8.8,50.10%,41.70%,7.60%,0.50%,0.20%,351245
崖上的波妞,No.227,宫崎骏,动画/奇幻/冒险,日本,2008,2008-07-19(日本),8.6,45.80%,41.20%,11.90%,0.80%,0.20%,558727
真爱至上,No.228,理查德·柯蒂斯,剧情/喜剧/爱情,英国 / 美国 / 法国,2003,2003-11-06(美国),8.5,45.30%,38.00%,14.40%,1.70%,0.50%,791746
千钧一发,No.229,安德鲁·尼科尔,剧情/科幻/惊悚,美国,1997,106分钟,8.8,51.40%,39.50%,8.50%,0.50%,0.10%,336580
罗生门,No.230,黑泽明,剧情/悬疑/犯罪,日本,1950,88分钟,8.8,51.90%,38.10%,9.00%,0.80%,0.30%,348639
恋恋笔记本,No.231,尼克·卡萨维蒂,剧情/爱情,美国,2004,又名:,8.5,44.30%,40.10%,13.80%,1.40%,0.40%,732433
彗星来的那一夜,No.232,詹姆斯·沃德·布柯特,科幻/悬疑/惊悚,美国 / 英国,2013,片长:,8.6,43.80%,42.70%,11.80%,1.20%,0.40%,661347
哈利·波特与凤凰社,No.233,大卫·叶茨,奇幻/冒险,英国 / 美国,2007,2007-07-11(美国),8.6,44.20%,40.40%,14.10%,1.00%,0.20%,671356
海边的曼彻斯特,No.234,肯尼思·洛纳根,剧情/家庭,美国,2016,片长:,8.6,43.80%,43.40%,11.50%,1.00%,0.20%,629213
火星救援,No.235,雷德利·斯科特,剧情/科幻/冒险,英国 / 美国 / 匈牙利 / 约旦,2015,片长:,8.5,39.80%,48.10%,11.30%,0.60%,0.20%,810026
黑客帝国2：重装上阵,No.236,拉娜·沃卓斯基,动作/科幻,美国,2003,片长:,8.7,47.60%,40.40%,11.00%,0.80%,0.20%,444401
奇迹男孩,No.237,斯蒂芬·卓博斯基,剧情/家庭/儿童,美国 / 中国香港,2017,2017-11-17(美国),8.6,42.70%,44.40%,12.10%,0.70%,0.10%,590039
萤火虫之墓,No.238,高畑勋,剧情/动画/战争,日本,1988,89分钟,8.7,53.40%,32.70%,10.30%,1.80%,1.80%,431876
千年女优,No.239,今敏,剧情/爱情/动画,日本,2001,片长:,8.8,53.70%,35.40%,9.60%,0.90%,0.30%,308082
战争之王,No.240,安德鲁·尼科尔,剧情/犯罪,美国 / 德国,2005,又名:,8.7,46.70%,42.60%,10.00%,0.60%,0.10%,405492
步履不停,No.241,是枝裕和,剧情/家庭,日本,2008,又名:,8.8,50.80%,40.10%,8.20%,0.60%,0.20%,313662
谍影重重2,No.242,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国,2004,2004-07-15(洛杉矶首映),8.7,46.90%,42.60%,9.90%,0.50%,0.10%,389036
血钻,No.243,爱德华·兹威克,剧情/惊悚/冒险,美国 / 德国 / 英国,2006,143分钟,8.7,44.80%,45.20%,9.40%,0.50%,0.10%,413263
攻壳机动队,No.244,押井守,动作/科幻/动画,日本,1995,片长:,9,61.10%,31.00%,6.90%,0.70%,0.30%,205934
蜘蛛侠：平行宇宙,No.245,鲍勃·佩尔西凯蒂,动作/科幻/动画/冒险,美国,2018,2018-12-14(美国),8.6,44.10%,42.20%,12.50%,0.90%,0.20%,738782
魂断蓝桥,No.246,茂文·勒鲁瓦,剧情/爱情/战争,美国,1940,108分钟,8.8,50.70%,39.70%,8.90%,0.60%,0.20%,303654
冰雪奇缘,No.247,克里斯·巴克,喜剧/动画/歌舞/奇幻,美国,2013,2014-02-05(中国大陆),8.5,40.00%,45.70%,13.40%,0.80%,0.20%,791262
房间,No.248,伦尼·阿伯拉罕森,剧情/家庭,爱尔兰 / 加拿大 / 英国 / 美国,2015,2016-01-22(美国),8.8,47.30%,43.70%,8.50%,0.40%,0.10%,393765
隐藏人物,No.249,西奥多·梅尔菲,剧情/传记/历史,美国,2016,127分钟,8.9,53.20%,38.70%,7.50%,0.40%,0.20%,259512
谍影重重,No.250,道格·里曼,动作/悬疑/惊悚,美国 / 德国 / 捷克,2002,2002-06-14(美国),8.6,44.20%,42.60%,12.30%,0.70%,0.20%,474922
