电影名称,排名,导演,电影类型,国家,上映年份,片长,评分,五星,四星,三星,二星,一星,评论人数
加勒比海盗：黑珍珠号的诅咒,No.96,戈尔·维宾斯基,动作/奇幻/冒险,美国,2003,片长:,8.8,52.20%,38.50%,8.80%,0.50%,0.10%,942149
红辣椒,No.97,今敏,科幻/动画/悬疑/惊悚,日本,2006,2006-11-25(日本),9,61.60%,30.20%,7.10%,0.70%,0.30%,546891
七宗罪,No.98,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,1995,片长:,8.8,51.00%,39.20%,9.00%,0.60%,0.20%,1030035
还有明天,No.99,宝拉·柯特莱西,剧情/喜剧/历史,意大利,2023,片长:,9.4,74.10%,20.80%,4.10%,0.60%,0.40%,293379
唐伯虎点秋香,No.100,李力持,喜剧/爱情/古装,中国香港,1993,102 分钟,8.7,49.00%,40.20%,10.10%,0.60%,0.10%,1191264
狩猎,No.101,托马斯·温特伯格,剧情,丹麦 / 瑞典,2012,又名:,9.1,62.70%,31.00%,5.40%,0.50%,0.40%,451303
幽灵公主,No.102,宫崎骏,动画/奇幻/冒险,日本,1997,片长:,8.9,56.60%,34.50%,8.20%,0.60%,0.20%,647478
甜蜜蜜,No.103,陈可辛,剧情/爱情,中国香港,1996,118分钟(中国大陆),8.9,55.40%,36.20%,7.70%,0.50%,0.20%,647573
蝙蝠侠：黑暗骑士崛起,No.104,克里斯托弗·诺兰,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,2012,上映日期:,8.9,54.20%,35.90%,8.90%,0.70%,0.20%,792706
7号房的礼物,No.105,李焕庆,剧情/喜剧/家庭,韩国,2013,片长:,8.9,57.50%,33.50%,8.00%,0.80%,0.30%,608181
寄生虫,No.106,奉俊昊,剧情,韩国,2019,又名:,8.8,50.20%,41.10%,7.90%,0.60%,0.30%,1506482
天书奇谭,No.107,王树忱,动画/奇幻,中国大陆,1983,89分钟,9.2,68.70%,25.60%,5.10%,0.40%,0.20%,318855
超能陆战队,No.108,唐·霍尔,喜剧/动作/科幻/动画/冒险,美国,2014,上映日期:,8.8,49.20%,40.20%,9.80%,0.60%,0.10%,1115616
爱在黎明破晓前,No.109,理查德·林克莱特,剧情/爱情,美国 / 奥地利 / 瑞士,1995,又名:,8.8,54.50%,34.40%,9.80%,1.00%,0.30%,772356
第六感,No.110,M·奈特·沙马兰,剧情/悬疑/惊悚,美国,1999,107分钟,8.9,54.80%,37.10%,7.50%,0.50%,0.10%,618285
被嫌弃的松子的一生,No.111,中岛哲也,剧情/歌舞,日本,2006,又名:,8.8,55.10%,34.00%,9.30%,1.20%,0.50%,757592
爱在日落黄昏时,No.112,理查德·林克莱特,剧情/爱情,美国 / 法国,2004,80 分钟,8.9,56.40%,33.80%,8.70%,0.80%,0.30%,632313
重庆森林,No.113,王家卫,剧情/爱情,中国香港,1994,又名:,8.8,51.40%,37.60%,9.80%,0.90%,0.30%,899111
入殓师,No.114,泷田洋二郎,剧情,日本,2008,130分钟,8.9,53.00%,37.70%,8.60%,0.60%,0.20%,730107
未麻的部屋,No.115,今敏,剧情/动画/悬疑/惊悚/犯罪,日本,1997,1997-08-05(加拿大奇幻电影节),9.1,62.30%,30.70%,6.10%,0.60%,0.30%,406976
剪刀手爱德华,No.116,蒂姆·波顿,剧情/爱情/奇幻,美国,1990,105分钟,8.7,48.30%,39.80%,10.80%,0.80%,0.20%,1102051
断背山,No.117,李安,剧情/爱情/同性/家庭,美国 / 加拿大,2005,2005-09-02(威尼斯电影节),8.8,53.60%,35.60%,9.70%,0.80%,0.30%,763527
菊次郎的夏天,No.118,北野武,剧情/喜剧,日本,1999,片长:,8.9,54.60%,35.70%,8.60%,0.80%,0.20%,657785
哈利·波特与火焰杯,No.119,迈克·内威尔,悬疑/奇幻/冒险,英国 / 美国,2005,2024-11-01(中国大陆重映),8.8,52.00%,37.70%,9.70%,0.60%,0.10%,772382
茶馆,No.120,谢添,剧情/历史,中国大陆,1982,又名:,9.6,80.70%,16.60%,2.40%,0.20%,0.10%,194081
借东西的小人阿莉埃蒂,No.121,米林宏昌,动画/奇幻/冒险,日本,2010,片长:,8.9,54.30%,37.30%,7.90%,0.40%,0.10%,611266
勇敢的心,No.122,梅尔·吉布森,剧情/动作/传记/历史/战争,美国,1995,1995-05-18(西雅图电影节),8.9,56.40%,34.10%,8.60%,0.70%,0.20%,594816
头脑特工队,No.123,彼特·道格特,喜剧/动画/冒险,美国,2015,2015-06-19(美国),8.8,53.60%,35.80%,9.70%,0.70%,0.20%,769953
时空恋旅人,No.124,理查德·柯蒂斯,喜剧/爱情/奇幻,英国 / 美国,2013,123分钟,8.8,52.70%,36.30%,9.90%,0.80%,0.20%,763874
无人知晓,No.125,是枝裕和,剧情,日本,2004,又名:,9.1,62.50%,31.90%,5.00%,0.40%,0.20%,362428
消失的爱人,No.126,大卫·芬奇,剧情/悬疑/惊悚/犯罪,美国,2014,2014-10-03(美国),8.7,47.70%,42.70%,8.80%,0.60%,0.20%,1047624
倩女幽魂,No.127,程小东,爱情/奇幻/武侠/古装,中国香港,1987,2025-03-21(中国大陆重映),8.8,49.30%,40.90%,9.20%,0.40%,0.10%,817642
驯龙高手,No.128,迪恩·戴布洛伊,动画/奇幻/冒险,美国,2010,2010-03-18(俄罗斯),8.8,49.60%,40.60%,9.30%,0.40%,0.10%,836944
完美的世界,No.129,克林特·伊斯特伍德,剧情/犯罪,美国,1993,138分钟,9.1,63.30%,30.40%,5.70%,0.50%,0.20%,350696
阳光灿烂的日子,No.130,姜文,剧情/爱情,中国大陆 / 中国香港,1994,片长:,8.8,52.60%,37.80%,8.70%,0.70%,0.30%,677100
花样年华,No.131,王家卫,剧情/爱情,中国香港,2000,2000-05-20(戛纳电影节),8.8,50.50%,39.40%,9.10%,0.70%,0.20%,770847
新世界,No.132,朴勋政,剧情/犯罪,韩国,2013,又名:,8.9,55.70%,36.20%,7.40%,0.50%,0.20%,508282
小森林 夏秋篇,No.133,森淳一,剧情,日本,2014,IMDb:,9,59.20%,32.50%,7.50%,0.60%,0.20%,462808
天使爱美丽,No.134,让-皮埃尔·热内,剧情/喜剧/爱情,法国 / 德国,2001,片长:,8.7,50.00%,36.70%,11.70%,1.20%,0.30%,1005929
傲慢与偏见,No.135,乔·赖特,剧情/爱情,法国 / 英国 / 美国,2005,又名:,8.7,49.00%,39.70%,10.40%,0.80%,0.20%,897125
一个叫欧维的男人决定去死,No.136,汉内斯·赫尔姆,剧情,瑞典,2015,又名:,8.9,54.40%,37.40%,7.50%,0.50%,0.10%,548725
侧耳倾听,No.137,近藤喜文,剧情/爱情/动画,日本,1995,111分钟,8.9,56.30%,34.80%,8.30%,0.50%,0.10%,508829
玩具总动员3,No.138,李·昂克里奇,喜剧/动画/奇幻/冒险,美国,2010,2010-06-16(中国大陆),8.9,55.50%,35.30%,8.60%,0.40%,0.10%,574684
怪兽电力公司,No.139,彼特·道格特,喜剧/动画/儿童/奇幻/冒险,美国,2001,上映日期:,8.8,49.60%,40.80%,9.10%,0.40%,0.10%,748483
教父3,No.140,弗朗西斯·福特·科波拉,剧情/犯罪,美国,1990,又名:,9,60.10%,31.90%,7.30%,0.50%,0.20%,417989
请以你的名字呼唤我,No.141,卢卡·瓜达尼诺,剧情/爱情/同性,意大利 / 法国 / 巴西 / 美国,2017,2018-01-25(意大利),8.8,55.00%,33.30%,10.00%,1.20%,0.50%,801812
色，戒,No.142,李安,剧情/爱情/情色,中国台湾 / 中国大陆 / 美国 / 中国香港,2007,2007-09-26(中国香港),8.7,49.10%,38.90%,10.90%,0.80%,0.30%,929468
幸福终点站,No.143,史蒂文·斯皮尔伯格,剧情/喜剧/爱情,美国,2004,片长:,8.8,52.20%,38.70%,8.50%,0.60%,0.10%,625137
哪吒闹海,No.144,王树忱,动画/奇幻/冒险,中国大陆,1979,62分钟,9.2,66.70%,27.00%,5.80%,0.40%,0.10%,298527
被解救的姜戈,No.145,昆汀·塔伦蒂诺,剧情/动作/西部/冒险,美国,2012,2013-05-12(中国大陆),8.8,51.80%,39.00%,8.40%,0.60%,0.20%,672285
九品芝麻官,No.146,王晶,剧情/喜剧/古装,中国香港,1994,108分钟,8.8,48.60%,41.40%,9.40%,0.40%,0.10%,769110
小森林 冬春篇,No.147,森淳一,剧情,日本,2015,IMDb:,9,60.20%,32.00%,7.00%,0.50%,0.20%,411504
釜山行,No.148,延尚昊,动作/惊悚/灾难,韩国,2016,片长:,8.6,43.90%,44.10%,10.90%,0.80%,0.30%,1317488
神偷奶爸,No.149,皮埃尔·柯芬,喜剧/动画/冒险,美国 / 法国,2010,2010-07-09(美国),8.7,45.50%,43.40%,10.50%,0.50%,0.10%,1025420
萤火之森,No.150,大森贵弘,剧情/爱情/动画/奇幻,日本,2011,2011-09-17(日本),8.8,54.60%,34.20%,10.00%,0.90%,0.30%,594552
喜宴,No.151,李安,剧情/喜剧/爱情/同性/家庭,中国台湾 / 美国,1993,1993-02(柏林电影节),9,56.20%,37.50%,5.80%,0.30%,0.20%,414997
告白,No.152,中岛哲也,剧情/悬疑,日本,2010,106分钟,8.8,51.90%,37.00%,9.50%,1.10%,0.50%,725932
头号玩家,No.153,史蒂文·斯皮尔伯格,动作/科幻/冒险,美国,2018,2018-03-29(美国),8.6,48.20%,38.00%,12.10%,1.30%,0.40%,1481681
玛丽和马克思,No.154,亚当·艾略特,剧情/喜剧/动画,澳大利亚 / 美国,2009,片长:,9,58.00%,33.10%,8.00%,0.70%,0.20%,450678
七武士,No.155,黑泽明,剧情/动作/冒险,日本,1954,207分钟,9.3,71.50%,23.30%,4.50%,0.40%,0.30%,226558
模仿游戏,No.156,莫滕·泰杜姆,剧情/同性/传记/战争,英国 / 美国,2014,2014-08-29(特柳赖德电影节),8.8,49.10%,41.20%,9.10%,0.50%,0.10%,706316
大鱼,No.157,蒂姆·波顿,剧情/爱情/奇幻/冒险,美国,2003,2004-01-09(美国),8.8,51.80%,37.10%,9.90%,0.90%,0.30%,613352
惊魂记,No.158,阿尔弗雷德·希区柯克,悬疑/惊悚/恐怖,美国,1960,片长:,9,59.10%,34.20%,6.10%,0.40%,0.20%,342582
射雕英雄传之东成西就,No.159,刘镇伟,喜剧/奇幻/武侠/古装,中国香港,1993,片长:,8.7,53.00%,33.20%,11.50%,1.70%,0.70%,702036
血战钢锯岭,No.160,梅尔·吉布森,剧情/传记/历史/战争,澳大利亚 / 美国,2016,2016-12-08(中国大陆),8.7,46.50%,41.60%,10.80%,0.90%,0.20%,841875
我是山姆,No.161,杰茜·尼尔森,剧情/家庭,美国,2001,又名:,9,57.60%,34.60%,7.20%,0.50%,0.20%,367642
你的名字。,No.162,新海诚,剧情/爱情/动画,日本,2016,2024-07-19(中国大陆重映),8.5,43.50%,38.70%,15.90%,1.60%,0.40%,1555166
阳光姐妹淘,No.163,姜炯哲,剧情/喜剧,韩国,2011,又名:,8.8,51.20%,38.00%,9.80%,0.80%,0.20%,626562
恐怖直播,No.164,金秉祐,剧情/悬疑/犯罪,韩国,2013,97分钟,8.7,47.70%,41.50%,9.90%,0.70%,0.20%,712538
黑客帝国3：矩阵革命,No.165,拉娜·沃卓斯基,动作/科幻,美国,2003,又名:,8.8,54.20%,35.10%,9.70%,0.80%,0.20%,485982
背靠背，脸对脸,No.166,黄建新,剧情,中国大陆 / 中国香港,1994,IMDb:,9.5,75.80%,21.60%,2.30%,0.20%,0.10%,169540
心灵奇旅,No.167,彼特·道格特,动画/音乐/奇幻,美国,2020,2020-10-11(伦敦电影节),8.7,48.80%,38.50%,11.80%,0.80%,0.20%,1104253
电锯惊魂,No.168,温子仁,悬疑/惊悚/恐怖,美国,2004,片长:,8.7,51.00%,37.10%,10.50%,1.00%,0.40%,594708
三块广告牌,No.169,马丁·麦克唐纳,剧情/犯罪,英国 / 美国,2017,片长:,8.7,46.80%,43.40%,8.90%,0.70%,0.20%,898946
小丑,No.170,托德·菲利普斯,剧情/惊悚/犯罪,美国 / 加拿大,2019,2019-10-04(美国),8.7,51.00%,37.30%,10.00%,1.10%,0.60%,1104677
谍影重重3,No.171,保罗·格林格拉斯,动作/悬疑/惊悚,美国 / 德国 / 法国 / 英国,2007,片长:,8.9,52.80%,37.90%,8.80%,0.50%,0.10%,458625
达拉斯买家俱乐部,No.172,让-马克·瓦雷,剧情/同性/传记,美国,2013,片长:,8.8,50.40%,41.70%,7.50%,0.40%,0.10%,494588
疯狂原始人,No.173,柯克·德·米科,喜剧/动画/冒险,美国,2013,2013-03-22(美国),8.7,46.70%,41.40%,11.20%,0.60%,0.10%,902864
无间道2,No.174,刘伟强,剧情/惊悚/犯罪,中国香港,2003,片长:,8.8,49.70%,39.90%,9.70%,0.60%,0.10%,549101
绿里奇迹,No.175,弗兰克·德拉邦特,剧情/悬疑/犯罪/奇幻,美国,1999,1999-12-10(美国),8.9,56.60%,34.00%,8.30%,0.80%,0.30%,376715
爱在午夜降临前,No.176,理查德·林克莱特,剧情/爱情,美国 / 希腊,2013,109分钟,8.9,54.60%,35.00%,9.20%,0.90%,0.30%,457458
海街日记,No.177,是枝裕和,剧情/家庭,日本,2015,片长:,8.8,50.40%,40.30%,8.60%,0.50%,0.10%,506142
风之谷,No.178,宫崎骏,动画/奇幻/冒险,日本,1984,片长:,8.9,55.70%,35.00%,8.60%,0.50%,0.20%,385909
上帝之城,No.179,费尔南多·梅里尔斯,剧情/犯罪,巴西 / 法国,2002,130分钟,9,58.30%,34.00%,6.90%,0.50%,0.20%,326576
疯狂的石头,No.180,宁浩,喜剧/犯罪,中国大陆 / 中国香港,2006,106分钟(香港),8.6,44.10%,42.90%,11.80%,0.90%,0.20%,903437
英雄本色,No.181,吴宇森,剧情/动作/犯罪,中国香港,1986,片长:,8.6,44.50%,43.50%,11.30%,0.50%,0.10%,592916
雨中曲,No.182,斯坦利·多南,喜剧/爱情/歌舞,美国,1952,103分钟,9.1,63.20%,30.30%,5.90%,0.40%,0.20%,258758
2001太空漫游,No.183,斯坦利·库布里克,科幻/惊悚/冒险,英国 / 美国,1968,片长:,8.9,60.20%,28.40%,8.90%,1.60%,0.90%,379504
