电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
Tonari no Totoro,Hayao Miyazaki,Hitoshi Takagi / Noriko Hidaka / Chika Sakamoto,Animation/Comedy/Family,Japan,1988,1h 26m,8.1,412K,"$30,430,087"
Barry Lyndon,Stanley Kubrick,Ryan O'Neal / Marisa Berenson / Patrick Magee,Adventure/Drama/War,United Kingdom/United States,1975,3h 5m,8.1,195K,"$284,426"
Dead Poets Society,Peter Weir,Robin Williams / Robert Sean Leonard / Ethan Hawke,Comedy/Drama,United States,1989,2h 8m,8.1,597K,"$235,860,116"
Bacheha-ye aseman,Majid Majidi,Reza Naji / Amir Farrokh Hashemian / Bahare Seddiqi,Drama/Family/Sport,Iran,1997,1h 29m,8.2,87K,"$933,933"
Spider-Man: No Way Home,Jon Watts,Tom Holland / Zendaya / Benedict Cumberbatch,Action/Adventure/Fantasy,United States,2021,2h 28m,8.2,962K,"$1,921,426,073"
Hacksaw Ridge,Mel Gibson,Andrew Garfield / Sam Worthington / Luke Bracey,Biography/Drama/History,United States,2016,2h 19m,8.1,643K,"$180,563,636"
The Grand Budapest Hotel,Wes Anderson,Ralph Fiennes / F. Murray Abraham / Mathieu Amalric,Comedy/Drama,United States/Germany,2014,1h 39m,8.1,933K,"$174,567,384"
12 Years a Slave,Steve McQueen,Chiwetel Ejiofor / Michael Kenneth Williams / Michael Fassbender,Biography/Drama/History,United Kingdom/United States,2013,2h 14m,8.1,768K,"$187,734,091"
Before Sunrise,Richard Linklater,Ethan Hawke / Julie Delpy / Andrea Eckert,Comedy/Drama/Romance,United States/Austria,1995,1h 41m,8.1,362K,"$6,572,057"
Blade Runner,Ridley Scott,Harrison Ford / Rutger Hauer / Sean Young,Action/Drama/Sci-Fi,United States/United Kingdom,1982,1h 57m,8.1,858K,"$41,767,218"
Salinui chueok,Bong Joon Ho,Song Kang-ho / Kim Sang-kyung / Kim Roe-ha,Crime/Drama/Mystery,South Korea,2003,2h 11m,8.1,245K,"$1,210,763"
Gone Girl,David Fincher,Ben Affleck / Rosamund Pike / Neil Patrick Harris,Drama/Mystery/Thriller,United States,2014,2h 29m,8.1,1.1M,"$370,890,259"
Ratatouille,Brad Bird,Brad Garrett / Lou Romano / Patton Oswalt,Animation/Adventure/Comedy,United States,2007,1h 51m,8.1,894K,"$623,730,087"
How to Train Your Dragon,Dean DeBlois,Jay Baruchel / Gerard Butler / Christopher Mintz-Plasse,Animation/Action/Adventure,United States/France/United Kingdom,2010,1h 38m,8.1,856K,"$494,879,860"
"Monsters, Inc.",Pete Docter,Billy Crystal / John Goodman / Mary Gibbs,Animation/Adventure/Comedy,United States,2001,1h 32m,8.1,1M,"$579,771,043"
In the Name of the Father,Jim Sheridan,Daniel Day-Lewis / Pete Postlethwaite / Alison Crosbie,Biography/Crime/Drama,Ireland/United Kingdom/United States,1993,2h 13m,8.1,197K,"$65,796,862"
Jaws,Steven Spielberg,Roy Scheider / Robert Shaw / Richard Dreyfuss,Adventure/Horror/Thriller,United States,1975,2h 4m,8.1,703K,"$477,916,625"
Relatos salvajes,Damián Szifron,Darío Grandinetti / María Marull / Mónica Villa,Comedy/Drama/Thriller,Argentina/Spain/France/United Kingdom,2014,2h 2m,8.1,230K,"$31,478,893"
The Gold Rush,Charles Chaplin,Charles Chaplin / Mack Swain / Tom Murray,Adventure/Comedy/Drama,United States,1925,1h 35m,8.1,125K,"$68,321"
Sherlock Jr.,Buster Keaton,Buster Keaton / Kathryn McGuire / Joe Keaton,Action/Comedy/Romance,United States,1924,45m,8.2,63K,$399
Ford v Ferrari,James Mangold,Matt Damon / Christian Bale / Jon Bernthal,Action/Biography/Drama,United States,2019,2h 32m,8.1,531K,"$226,299,480"
Mary and Max.,Adam Elliot,Toni Collette / Philip Seymour Hoffman / Eric Bana,Animation/Comedy/Drama,Australia,2009,1h 32m,8.1,197K,"$1,740,791"
The Deer Hunter,Michael Cimino,Robert De Niro / Christopher Walken / John Cazale,Drama/War,United States/United Kingdom,1978,3h 3m,8.1,378K,"$49,080,312"
Le salaire de la peur,Henri-Georges Clouzot,Yves Montand / Charles Vanel / Peter van Eyck,Adventure/Drama/Thriller,France/Italy,1953,2h 36m,8.1,71K,"$22,326"
The General,Clyde Bruckman,Buster Keaton / Marion Mack / Glen Cavender,Action/Adventure/Comedy,United States,1926,1h 18m,8.1,103K,"$1,344"
Mr. Smith Goes to Washington,Frank Capra,James Stewart / Jean Arthur / Claude Rains,Comedy/Drama,United States,1939,2h 9m,8.1,127K,"$146,123"
On the Waterfront,Elia Kazan,Marlon Brando / Karl Malden / Lee J. Cobb,Crime/Drama/Thriller,United States,1954,1h 48m,8.1,174K,"$3,768"
Logan,James Mangold,Hugh Jackman / Patrick Stewart / Dafne Keen,Action/Drama/Sci-Fi,United States,2017,2h 17m,8.1,896K,"$619,180,476"
Smultronstället,Ingmar Bergman,Victor Sjöström / Bibi Andersson / Ingrid Thulin,Drama/Romance,Sweden,1957,1h 32m,8.1,121K,"$81,070"
Rocky,John G. Avildsen,Sylvester Stallone / Talia Shire / Burt Young,Drama/Sport,United States,1976,2h,8.1,664K,"$117,253,345"
The Third Man,Carol Reed,Orson Welles / Joseph Cotten / Alida Valli,Drama/Film-Noir/Mystery,United Kingdom,1949,1h 44m,8.1,191K,"$1,421,864"
Tôkyô monogatari,Yasujirô Ozu,Chishû Ryû / Chieko Higashiyama / Sô Yamamura,Drama,Japan,1953,2h 17m,8.1,75K,"$93,881"
Spotlight,Tom McCarthy,Mark Ruffalo / Michael Keaton / Rachel McAdams,Biography/Crime/Drama,United States,2015,2h 9m,8.1,522K,"$98,690,254"
The Terminator,James Cameron,Arnold Schwarzenegger / Linda Hamilton / Michael Biehn,Action/Adventure/Sci-Fi,United Kingdom/United States,1984,1h 47m,8.1,971K,"$78,371,200"
The Big Lebowski,Joel Coen,Jeff Bridges / John Goodman / Julianne Moore,Comedy/Crime,United Kingdom/United States,1998,1h 57m,8.1,895K,"$48,261,691"
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,Johnny Depp / Geoffrey Rush / Orlando Bloom,Action/Adventure/Fantasy,United States,2003,2h 23m,8.1,1.3M,"$654,264,546"
Maharaja,Nithilan Saminathan,Vijay Sethupathi / Anurag Kashyap / Mamta Mohandas,Action/Crime/Drama,India,2024,N/A,8.4,71K,"$975,543"
Det sjunde inseglet,Ingmar Bergman,Max von Sydow / Gunnar Björnstrand / Bengt Ekerot,Drama/Fantasy,Sweden,1957,1h 36m,8.1,210K,"$312,104"
La haine,Mathieu Kassovitz,Vincent Cassel / Hubert Koundé / Saïd Taghmaoui,Crime/Drama,France,1995,1h 38m,8.1,214K,"$760,851"
Room,Lenny Abrahamson,Brie Larson / Jacob Tremblay / Sean Bridgers,Drama/Thriller,Ireland/Canada/United Kingdom/United States,2015,1h 58m,8.1,470K,"$35,402,766"
Jai Bhim,T.J. Gnanavel,Suriya / Lijo Mol Jose / Manikandan K.,Crime/Drama,India/United States,2021,2h 44m,8.6,228K,N/A
Hotel Rwanda,Terry George,Don Cheadle / Sophie Okonedo / Joaquin Phoenix,Biography/Drama/History,United States/United Kingdom/South Africa/Italy,2004,2h 1m,8.1,385K,"$33,882,243"
Platoon,Oliver Stone,Charlie Sheen / Tom Berenger / Willem Dafoe,Drama/War,United States/United Kingdom,1986,2h,8.1,459K,"$138,546,255"
The Best Years of Our Lives,William Wyler,Myrna Loy / Dana Andrews / Fredric March,Drama/Romance/War,United States,1946,2h 50m,8.1,75K,"$23,667,133"
Before Sunset,Richard Linklater,Ethan Hawke / Julie Delpy / Vernon Dobtcheff,Drama/Romance,France/United States,2004,1h 20m,8.1,304K,"$16,506,532"
The Sound of Music,Robert Wise,Julie Andrews / Christopher Plummer / Eleanor Parker,Biography/Drama/Family,United States,1965,2h 52m,8.1,279K,"$159,500,547"
The Exorcist,William Friedkin,Ellen Burstyn / Max von Sydow / Linda Blair,Horror,United States,1973,2h 2m,8.1,481K,"$430,872,776"
The Incredibles,Brad Bird,Craig T. Nelson / Samuel L. Jackson / Holly Hunter,Animation/Action/Adventure,United States,2004,1h 55m,8.0,862K,"$631,688,498"
The Wizard of Oz,Victor Fleming,Judy Garland / Frank Morgan / Ray Bolger,Adventure/Family/Fantasy,United States,1939,1h 42m,8.1,453K,"$25,637,669"
Hachi: A Dog's Tale,Lasse Hallström,Richard Gere / Joan Allen / Cary-Hiroyuki Tagawa,Biography/Drama/Family,United Kingdom/United States,2009,1h 33m,8.1,331K,"$46,749,646"
La passion de Jeanne d'Arc,Carl Theodor Dreyer,Maria Falconetti / Eugene Silvain / André Berley,Biography/Drama/History,France,1928,1h 50m,8.1,66K,"$22,731"
Rush,Ron Howard,Daniel Brühl / Chris Hemsworth / Olivia Wilde,Biography/Drama/Sport,United Kingdom/United States,2013,2h 3m,8.1,539K,"$96,992,516"
Stand by Me,Rob Reiner,Wil Wheaton / River Phoenix / Corey Feldman,Adventure/Comedy/Drama,United States,1986,1h 29m,8.1,468K,"$53,525,035"
Babam ve Oglum,Çagan Irmak,Çetin Tekindor / Fikret Kuskan / Hümeyra,Drama/Family,Turkey,2005,1h 52m,8.2,98K,"$18,612,999"
Koe no katachi,Naoko Yamada,Miyu Irino / Saori Hayami / Aoi Yûki,Animation/Drama,Japan,2016,2h 10m,8.1,124K,"$30,819,442"
The Iron Giant,Brad Bird,Eli Marienthal / Harry Connick Jr. / Jennifer Aniston,Animation/Action/Adventure,United States/Czech Republic/United Kingdom,1999,1h 26m,8.1,247K,"$23,339,506"
Network,Sidney Lumet,Faye Dunaway / William Holden / Peter Finch,Drama,United States,1976,2h 1m,8.1,181K,"$23,701,317"
Ah-ga-ssi,Park Chan-wook,Kim Min-hee / Ha Jung-woo / Cho Jin-woong,Drama/Romance/Thriller,South Korea,2016,2h 25m,8.1,191K,"$37,863,670"
La battaglia di Algeri,Gillo Pontecorvo,Brahim Hadjadj / Jean Martin / Yacef Saadi,Drama/War,Italy/Algeria,1966,2h 1m,8.1,72K,"$962,002"
The Grapes of Wrath,John Ford,Henry Fonda / Jane Darwell / John Carradine,Drama,United States,1940,2h 9m,8.1,106K,"$7,304"
To Be or Not to Be,Ernst Lubitsch,Carole Lombard / Jack Benny / Robert Stack,Comedy/Romance/War,United States,1942,1h 39m,8.1,48K,"$4,578,000"
Into the Wild,Sean Penn,Emile Hirsch / Vince Vaughn / Catherine Keener,Adventure/Biography/Drama,United States,2007,2h 28m,8.0,682K,"$56,676,733"
Groundhog Day,Harold Ramis,Bill Murray / Andie MacDowell / Chris Elliott,Comedy/Drama/Fantasy,United States,1993,1h 41m,8.0,721K,"$71,108,778"
The Help,Tate Taylor,Viola Davis / Emma Stone / Octavia Spencer,Drama,United States/India,2011,2h 26m,8.1,516K,"$221,802,186"
Gangs of Wasseypur,Anurag Kashyap,Manoj Bajpayee / Nawazuddin Siddiqui / Tigmanshu Dhulia,Action/Comedy/Crime,India/France,2012,5h 21m,8.2,109K,"$4,384,642"
Drishyam,Nishikant Kamat,Ajay Devgn / Shriya Saran / Tabu,Crime/Drama/Mystery,India,2015,2h 43m,8.2,102K,N/A
Andhadhun,Sriram Raghavan,Ayushmann Khurrana / Tabu / Radhika Apte,Crime/Mystery/Thriller,India,2018,2h 19m,8.2,110K,"$62,475,342"
Amores perros,Alejandro G. Iñárritu,Emilio Echevarría / Gael García Bernal / Goya Toledo,Drama/Thriller,Mexico,2000,2h 34m,8.0,269K,"$20,908,467"
