电影名称,导演,主演,电影类型,国家,上映年份,片长,评分,评论人数,全球票房
Spider-Man: Into the Spider-Verse,Bob Persichetti,Shameik Moore / Jake Johnson / Hailee Steinfeld,Animation/Action/Adventure,Canada/United States,2018,1h 57m,8.4,739K,"$393,602,435"
Witness for the Prosecution,Billy Wilder,Tyrone Power / Marlene Dietrich / Charles Laughton,Crime/Drama/Mystery,United States,1957,1h 56m,8.4,151K,"$7,903"
Paths of Glory,Stanley Kubrick,Kirk Douglas / Ralph Meeker / Adolphe Menjou,Drama/War,United States,1957,1h 28m,8.4,228K,"$8,290"
The Shining,Stanley Kubrick,Jack Nicholson / Shelley Duvall / Danny Lloyd,Drama/Horror,United Kingdom/United States,1980,2h 26m,8.4,1.2M,"$47,969,816"
The Great Dictator,Charles Chaplin,Charles Chaplin / Paulette Goddard / Jack Oakie,Comedy/Drama/War,United States,1940,2h 5m,8.4,250K,"$972,212"
12th Fail,Vidhu Vinod Chopra,Vikrant Massey / Medha Shankr / Anant Joshi,Biography/Drama,India,2023,N/A,8.7,152K,"$138,288"
Inglourious Basterds,Quentin Tarantino,Brad Pitt / Diane Kruger / Eli Roth,Adventure/Drama/War,United States/Germany,2009,2h 33m,8.4,1.7M,"$321,460,744"
Aliens,James Cameron,Sigourney Weaver / Michael Biehn / Carrie Henn,Action/Adventure/Horror,United Kingdom/United States,1986,2h 17m,8.4,813K,"$131,060,248"
The Dark Knight Rises,Christopher Nolan,Christian Bale / Tom Hardy / Anne Hathaway,Action/Crime/Drama,United States/United Kingdom,2012,2h 44m,8.4,1.9M,"$1,114,976,407"
Coco,Lee Unkrich,Anthony Gonzalez / Gael García Bernal / Benjamin Bratt,Animation/Adventure/Drama,United States/Mexico,2017,1h 45m,8.4,658K,"$814,641,172"
Amadeus,Milos Forman,F. Murray Abraham / Tom Hulce / Elizabeth Berridge,Biography/Drama/Music,United States/France,1984,2h 40m,8.4,451K,"$52,205,710"
Toy Story,John Lasseter,Tom Hanks / Tim Allen / Don Rickles,Animation/Adventure/Comedy,United States,1995,1h 21m,8.3,1.1M,"$394,436,586"
Avengers: Endgame,Anthony Russo,Robert Downey Jr. / Chris Evans / Mark Ruffalo,Action/Adventure/Sci-Fi,United States,2019,3h 1m,8.4,1.4M,"$2,799,439,100"
Good Will Hunting,Gus Van Sant,Robin Williams / Matt Damon / Ben Affleck,Drama/Romance,United States,1997,2h 6m,8.3,1.1M,"$225,933,435"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,Peter Sellers / George C. Scott / Sterling Hayden,Comedy/War,United Kingdom/United States,1964,1h 35m,8.3,540K,"$9,631,984"
Oldeuboi,Park Chan-wook,Choi Min-sik / Yoo Ji-tae / Kang Hye-jeong,Action/Drama/Mystery,South Korea,2003,2h,8.3,685K,"$17,617,021"
Das Boot,Wolfgang Petersen,Jürgen Prochnow / Herbert Grönemeyer / Klaus Wennemann,Drama/War,West Germany,1981,N/A,8.4,281K,"$11,489,051"
Braveheart,Mel Gibson,Mel Gibson / Sophie Marceau / Patrick McGoohan,Biography/Drama/War,United States,1995,2h 58m,8.3,1.1M,"$213,216,216"
